level,exercise
1,その場で屈伸を10回
1,肩をぐるぐる5回まわす
1,目のストレッチ30秒
1,立ち上がって背伸び10秒
1,首をゆっくり左右に回す
1,その場で足踏み10秒
1,手首を回す（左右5回ずつ）
1,深呼吸を3回
1,座ったままつま先を上下10回
1,目を閉じてゆっくり呼吸を整える（30秒）
2,スクワットを5回
2,両腕を広げて伸ばす運動30秒
2,足を伸ばして前屈10秒
2,片足立ち10秒（左右）
2,肩甲骨を寄せる動き10回
2,体幹を意識した立位姿勢10秒
2,腕を後ろに引いて胸を開くストレッチ30秒
2,つま先立ち10秒
2,壁に手をついてふくらはぎのストレッチ左右30秒
2,腕回し大きく左右10回
3,スクワットを10回
3,ラジオ体操の上半身部分（1分）
3,もも上げ30回（15回ずつ）
3,お尻歩き30秒
3,四つん這いストレッチ（キャット＆カウ）30秒
3,背筋を伸ばしてキープ10秒×3回
3,腰をひねるストレッチ左右30秒
3,体を左右に大きく曲げる10回
3,壁腕立て10回
3,椅子スクワット10回
4,ジャンピングジャック20回
4,プランク30秒
4,膝つき腕立て伏せ10回
4,その場でランニング30秒
4,足を前後に出してランジ左右10回
4,バーピージャンプ3回
4,クランチ（腹筋）10回
4,サイドプランク左右15秒
4,スクワットジャンプ5回
4,早歩きでその場ウォーキング60秒
5,ジャンピングジャック40回
5,ノーマル腕立て伏せ10回
5,プランク60秒
5,スクワットジャンプ10回
5,バーピー5回
5,その場ダッシュ60秒
5,サイドランジ左右10回
5,マウンテンクライマー30秒
5,腹筋20回
5,HIIT風エクササイズ（例：20秒運動＋10秒休憩×3）
